nombre,SMINA vinardo
C65771837_mmff94,-10.3
C64519995_mmff94,-10.2
C57028380_mmff94,-10.1
C60100722_mmff94,-10.1
C63537948_mmff94,-10.1
C63279469_mmff94,-9.9
C66100766_mmff94,-9.9
C63690790_mmff94,-9.8
C63830790_mmff94,-9.8
C63547030_mmff94,-9.7
C63547041_mmff94,-9.7
C58369306_mmff94,-9.7
C59307055_mmff94,-9.7
C59816596_mmff94,-9.6
C63737644_mmff94,-9.6
C64540132_mmff94,-9.6
C58156955_mmff94,-9.6
C67616008_mmff94,-9.5
C67504122_mmff94,-9.5
C64637523_mmff94,-9.5
C67561196_mmff94,-9.4
C57481622_mmff94,-9.4
C64788511_mmff94,-9.4
C63506871_mmff94,-9.4
C67606536_mmff94,-9.4
C63362653_mmff94,-9.4
C63501973_mmff94,-9.4
C59170369_mmff94,-9.3
C64788507_mmff94,-9.3
C64152495_mmff94,-9.3
C67062067_mmff94,-9.3
C63383452_mmff94,-9.3
C60370764_mmff94,-9.3
C63303079_mmff94,-9.3
C58756990_mmff94,-9.3
C58846951_mmff94,-9.3
C63899644_mmff94,-9.2
C67317349_mmff94,-9.2
C67459848_mmff94,-9.2
C58775456_mmff94,-9.2
C64015023_mmff94,-9.2
C65461026_mmff94,-9.2
C65021902_mmff94,-9.1
C66956376_mmff94,-9.1
C64870236_mmff94,-9.1
C60157633_mmff94,-9.1
C64600259_mmff94,-9.1
C63709318_mmff94,-9.1
C59152069_mmff94,-9.1
C64534955_mmff94,-9.1
C63558260_mmff94,-9.1
C67465362_mmff94,-9.1
C63679641_mmff94,-9.1
C63874061_mmff94,-9.1
C64055370_mmff94,-9.1
C63162962_mmff94,-9.1
C64480290_mmff94,-9.1
C63529044_mmff94,-9.0
C67247637_mmff94,-9.0
C63537953_mmff94,-9.0
C58912583_mmff94,-9.0
C65182741_mmff94,-9.0
C54412336_mmff94,-9.0
C67348607_mmff94,-9.0
C67193173_mmff94,-8.9
C65499076_mmff94,-8.9
C64450346_mmff94,-8.9
C66179974_mmff94,-8.9
C67570665_mmff94,-8.9
C59503388_mmff94,-8.9
C64717885_mmff94,-8.9
C64450877_mmff94,-8.9
C64637524_mmff94,-8.9
C66214462_mmff94,-8.8
C64435864_mmff94,-8.8
C62497166_mmff94,-8.8
C63818916_mmff94,-8.8
C61844929_mmff94,-8.8
C64502579_mmff94,-8.8
C63663935_mmff94,-8.8
C65483163_mmff94,-8.8
C58900060_mmff94,-8.8
C67611801_mmff94,-8.8
C67063629_mmff94,-8.8
C54390507_mmff94,-8.8
C63097723_mmff94,-8.7
C63546948_mmff94,-8.7
C67466006_mmff94,-8.7
C66135910_mmff94,-8.7
C65182016_mmff94,-8.7
C61681335_mmff94,-8.7
C65146163_mmff94,-8.7
C65021742_mmff94,-8.7
C64718320_mmff94,-8.7
C63537967_mmff94,-8.7
C63314841_mmff94,-8.7
C67031406_mmff94,-8.7
C67064357_mmff94,-8.7
C56072556_mmff94,-8.7
C63830600_mmff94,-8.7
C54903902_mmff94,-8.7
C63296267_mmff94,-8.6
C63666772_mmff94,-8.6
C58530864_mmff94,-8.6
C64220384_mmff94,-8.6
C64015086_mmff94,-8.6
C56860329_mmff94,-8.6
C65308535_mmff94,-8.6
C58880658_mmff94,-8.6
C59092474_mmff94,-8.6
C59309563_mmff94,-8.6
C66602747_mmff94,-8.6
C58887293_mmff94,-8.6
C65531809_mmff94,-8.6
C66682310_mmff94,-8.6
C66396557_mmff94,-8.6
C66243664_mmff94,-8.6
C55175186_mmff94,-8.5
C61858981_mmff94,-8.5
C58246828_mmff94,-8.5
C67469278_mmff94,-8.5
C62297419_mmff94,-8.5
C59503589_mmff94,-8.5
C67028437_mmff94,-8.5
C62496733_mmff94,-8.5
C63479934_mmff94,-8.5
C63690787_mmff94,-8.5
C57267772_mmff94,-8.5
C67444032_mmff94,-8.5
C64164328_mmff94,-8.5
C57037714_mmff94,-8.5
C56574766_mmff94,-8.5
C67611805_mmff94,-8.5
C58385565_mmff94,-8.5
C64960851_mmff94,-8.5
C65142676_mmff94,-8.5
C58386257_mmff94,-8.5
C61473905_mmff94,-8.5
C66213058_mmff94,-8.5
C60243428_mmff94,-8.5
C65482852_mmff94,-8.5
C66470856_mmff94,-8.4
C63230239_mmff94,-8.4
C65552670_mmff94,-8.4
C66390199_mmff94,-8.4
C58853715_mmff94,-8.4
C65202978_mmff94,-8.4
C63825314_mmff94,-8.4
C67463606_mmff94,-8.4
C63362778_mmff94,-8.4
C56371026_mmff94,-8.4
C59882810_mmff94,-8.4
C63317427_mmff94,-8.4
C64717891_mmff94,-8.4
C63933355_mmff94,-8.4
C66195188_mmff94,-8.4
C58236959_mmff94,-8.4
C61685438_mmff94,-8.4
C54919882_mmff94,-8.4
C59016887_mmff94,-8.4
C61632408_mmff94,-8.4
C56102312_mmff94,-8.4
C60916804_mmff94,-8.3
C54751840_mmff94,-8.3
C67275664_mmff94,-8.3
C67618869_mmff94,-8.3
C63825310_mmff94,-8.3
C67407800_mmff94,-8.3
C66591939_mmff94,-8.3
C61998771_mmff94,-8.3
C61189964_mmff94,-8.3
C64450876_mmff94,-8.3
C65360131_mmff94,-8.3
C66899225_mmff94,-8.3
C62365009_mmff94,-8.3
C58995024_mmff94,-8.3
C58880695_mmff94,-8.3
C63339561_mmff94,-8.3
C61856092_mmff94,-8.3
C63830545_mmff94,-8.3
C65135403_mmff94,-8.3
C64305278_mmff94,-8.3
C63384363_mmff94,-8.2
C63641868_mmff94,-8.2
C62320993_mmff94,-8.2
C56818509_mmff94,-8.2
C59368429_mmff94,-8.2
C66714286_mmff94,-8.2
C66242281_mmff94,-8.2
C66827860_mmff94,-8.2
C66906262_mmff94,-8.2
C65461998_mmff94,-8.2
C61001960_mmff94,-8.2
C65329703_mmff94,-8.2
C58289916_mmff94,-8.2
C61865748_mmff94,-8.2
C58012928_mmff94,-8.2
C64890992_mmff94,-8.2
C67130430_mmff94,-8.2
C67125649_mmff94,-8.2
C64517337_mmff94,-8.2
C67125652_mmff94,-8.2
C67193419_mmff94,-8.2
C67173817_mmff94,-8.2
C66593800_mmff94,-8.1
C63941209_mmff94,-8.1
C66242894_mmff94,-8.1
C67590756_mmff94,-8.1
C67525245_mmff94,-8.1
C64137634_mmff94,-8.1
C64164331_mmff94,-8.1
C66597662_mmff94,-8.1
C65365285_mmff94,-8.1
C63641866_mmff94,-8.1
C65260724_mmff94,-8.1
C63666745_mmff94,-8.1
C67330843_mmff94,-8.1
C67463011_mmff94,-8.1
C66939652_mmff94,-8.1
C67049917_mmff94,-8.1
C63479932_mmff94,-8.1
C54156283_mmff94,-8.1
C62123066_mmff94,-8.1
C58012930_mmff94,-8.1
C61767071_mmff94,-8.1
C59293280_mmff94,-8.1
C62943469_mmff94,-8.1
C63473072_mmff94,-8.1
C56862541_mmff94,-8.1
C63373364_mmff94,-8.1
C56186580_mmff94,-8.1
C63399333_mmff94,-8.1
C62498220_mmff94,-8.1
C59016998_mmff94,-8.1
C65591169_mmff94,-8.0
C58139961_mmff94,-8.0
C67352798_mmff94,-8.0
C67130429_mmff94,-8.0
C66939192_mmff94,-8.0
C66647038_mmff94,-8.0
C67411380_mmff94,-8.0
C55175389_mmff94,-8.0
C65510313_mmff94,-8.0
C63626084_mmff94,-8.0
C62497208_mmff94,-8.0
C57663355_mmff94,-8.0
C66584786_mmff94,-8.0
C62789297_mmff94,-8.0
C66571468_mmff94,-8.0
C66456615_mmff94,-7.9
C67017519_mmff94,-7.9
C62704714_mmff94,-7.9
C66981212_mmff94,-7.9
C64097984_mmff94,-7.9
C62609821_mmff94,-7.9
C59520321_mmff94,-7.9
C59022158_mmff94,-7.9
C62934713_mmff94,-7.9
C67626970_mmff94,-7.9
C66057741_mmff94,-7.9
C59373826_mmff94,-7.9
C63479935_mmff94,-7.9
C54479474_mmff94,-7.9
C63807620_mmff94,-7.9
C61770043_mmff94,-7.9
C65933126_mmff94,-7.9
C67449528_mmff94,-7.9
C59916344_mmff94,-7.9
C65734329_mmff94,-7.9
C54949432_mmff94,-7.9
C67456857_mmff94,-7.8
C59106204_mmff94,-7.8
C65482401_mmff94,-7.8
C64291076_mmff94,-7.8
C67570964_mmff94,-7.8
C65133920_mmff94,-7.8
C60132145_mmff94,-7.8
C57698798_mmff94,-7.8
C59679004_mmff94,-7.8
C62369842_mmff94,-7.8
C67390126_mmff94,-7.8
C63182768_mmff94,-7.8
C63479921_mmff94,-7.8
C66971908_mmff94,-7.8
C63102958_mmff94,-7.8
C66203166_mmff94,-7.8
C66327830_mmff94,-7.8
C63646760_mmff94,-7.8
C65577758_mmff94,-7.8
C59883305_mmff94,-7.7
