nombre,SMINA vinardo
C38964765_mmff94,-10.8
C24257523_mmff94,-10.6
C12850468_mmff94,-10.3
C39674064_mmff94,-10.3
C12608366_mmff94,-10.3
C15840433_mmff94,-10.2
C09663720_mmff94,-10.2
C38688515_mmff94,-10.1
C02794014_mmff94,-10.1
C19563054_mmff94,-10.1
C10191126_mmff94,-10.0
C09782034_mmff94,-10.0
C07540810_mmff94,-10.0
C39684194_mmff94,-10.0
C32605479_mmff94,-10.0
C40549838_mmff94,-9.9
C08845503_mmff94,-9.9
C40144200_mmff94,-9.8
C35926286_mmff94,-9.8
C14184696_mmff94,-9.8
C02247392_mmff94,-9.8
C35685771_mmff94,-9.8
C13638939_mmff94,-9.8
C39467420_mmff94,-9.7
C09703780_mmff94,-9.7
C40920653_mmff94,-9.7
C39934495_mmff94,-9.7
C13146152_mmff94,-9.7
C35379102_mmff94,-9.7
C09158107_mmff94,-9.7
C09951016_mmff94,-9.7
C02520324_mmff94,-9.7
C21247500_mmff94,-9.6
C06268455_mmff94,-9.6
C10395782_mmff94,-9.6
C39674851_mmff94,-9.6
C11666973_mmff94,-9.5
C21971016_mmff94,-9.5
C09306523_mmff94,-9.5
C07045295_mmff94,-9.5
C32091138_mmff94,-9.5
C18322948_mmff94,-9.5
C40156283_mmff94,-9.5
C35351389_mmff94,-9.5
C30587499_mmff94,-9.5
C17157357_mmff94,-9.5
C35926300_mmff94,-9.5
C22067032_mmff94,-9.4
C39946772_mmff94,-9.4
C39899588_mmff94,-9.4
C02564245_mmff94,-9.4
C20534233_mmff94,-9.4
C20536787_mmff94,-9.4
C24736747_mmff94,-9.4
C26786650_mmff94,-9.4
C19296798_mmff94,-9.4
C20356666_mmff94,-9.4
C02654574_mmff94,-9.4
C38932735_mmff94,-9.4
C39685463_mmff94,-9.4
C31813413_mmff94,-9.4
C39676288_mmff94,-9.4
C33280089_mmff94,-9.4
C14347881_mmff94,-9.4
C13639574_mmff94,-9.4
C04032923_mmff94,-9.3
C39667131_mmff94,-9.3
C17642895_mmff94,-9.3
C39661792_mmff94,-9.3
C00958975_mmff94,-9.3
C39670122_mmff94,-9.3
C20207936_mmff94,-9.3
C08746877_mmff94,-9.3
C39670251_mmff94,-9.3
C12567436_mmff94,-9.3
C38744615_mmff94,-9.3
C08844374_mmff94,-9.3
C39669013_mmff94,-9.3
C34207846_mmff94,-9.3
C41301681_mmff94,-9.3
C04126880_mmff94,-9.3
C32964468_mmff94,-9.2
C40399227_mmff94,-9.2
C03496022_mmff94,-9.2
C39609320_mmff94,-9.2
C12600472_mmff94,-9.2
C08029880_mmff94,-9.2
C31931992_mmff94,-9.2
C39676320_mmff94,-9.2
C20799913_mmff94,-9.2
C39666636_mmff94,-9.2
C11580937_mmff94,-9.2
