nombre,SMINA vinardo
activos_C00575087,-11.1
activos_C00574915,-10.5
activos_C00301073,-10.4
activos_C00440719,-10.1
activos_C00613038,-10.0
activos_C00301242,-10.0
activos_C00300759,-10.0
activos_C00226552,-9.9
activos_C00324526,-9.8
activos_C00350676,-9.8
activos_C00300600,-9.6
activos_C00319947,-9.6
activos_C00453116,-9.5
activos_C00440715,-9.5
activos_C00115235,-9.5
activos_C00248407,-9.3
activos_C00310895,-9.3
activos_C00452367,-9.3
activos_C00554577,-9.2
activos_C00556304,-9.2
activos_C00166118,-9.2
activos_C00320729,-8.9
activos_C00091277,-8.9
activos_C00559773,-8.8
activos_C00512306,-8.7
activos_C00339679,-8.7
activos_C00312614,-8.6
activos_C00303681,-8.6
activos_C00361236,-8.6
activos_C00410894,-8.5
activos_C00303796,-8.5
activos_C00248995,-8.5
activos_C00410904,-8.3
activos_C00341636,-8.3
activos_C00311564,-8.3
activos_C00226694,-8.3
activos_C00311617,-8.3
activos_C00512304,-8.1
activos_C00429512,-7.8
activos_C00247613,-7.7
activos_C00226517,-7.7
activos_C00310679,-7.6
activos_C00170064,-7.5
activos_C00187202,-7.4
activos_C00494698,-7.2
activos_C00316291,-6.3
activos_C00512154,-5.8
